"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","The Deck on Laguna Beach","1432","American (New),Seafood,Cocktail Bars","4","627 Sleepy Hollow Ln ","$$","https://www.yelp.com/biz/the-deck-on-laguna-beach-laguna-beach-2?osq=Restaraunts"
"2","Nick’s Laguna Beach","2979","American (Traditional),Breakfast &amp; Brunch,Steakhouses","4.5","440 S Coast Hwy ","$$","https://www.yelp.com/biz/nicks-laguna-beach-laguna-beach?osq=Restaraunts"
"3","Driftwood Kitchen - Temp. CLOSED","1914","Seafood,Steakhouses,Cocktail Bars","4","619 Sleepy Hollow Ln ","$$","https://www.yelp.com/biz/driftwood-kitchen-laguna-beach-2?osq=Restaraunts"
"4","The Cliff Restaurant","2029","American (New),Seafood,Steakhouses","3.5","577 S Coast Hwy ","$$","https://www.yelp.com/biz/the-cliff-restaurant-laguna-beach?osq=Restaraunts"
"5","Reunion Kitchen + Drink","352","American (New),Salad,Burgers","4.5","610 N Coast Hwy ","$$","https://www.yelp.com/biz/reunion-kitchen-drink-laguna-beach?osq=Restaraunts"
"6","Oak Laguna Beach","685","American (New),Desserts,Tapas/Small Plates","4.5","1100 S Coast Hwy ","$$","https://www.yelp.com/biz/oak-laguna-beach-laguna-beach-2?osq=Restaraunts"
"7","Din Tai Fung","4948","Taiwanese","4","3333 Bristol St ","$$","https://www.yelp.com/biz/din-tai-fung-costa-mesa?osq=Restaraunts"
"8","Carmelita’s","1628","Mexican,Breakfast &amp; Brunch","4.5","217 Broadway St ","$$","https://www.yelp.com/biz/carmelitas-laguna-beach?osq=Restaraunts"
"9","C’est La Vie","2442","French,Bakeries,Breakfast &amp; Brunch","4","373 S Coast Hwy ","$$","https://www.yelp.com/biz/cest-la-vie-laguna-beach-2?osq=Restaraunts"
"10","Oliver’s Osteria","195","Italian","4.5","853 Laguna Canyon Rd ","$$","https://www.yelp.com/biz/olivers-osteria-laguna-beach-2?osq=Restaraunts"
